Product,Age,Gender,Education,MaritalStatus,Usage,Fitness,Income,Miles
FE580,23,Female,16,Single,3,3,45480,95
FE580,23,Male,16,Partnered,4,3,45480,127
FE580,23,Female,16,Partnered,3,2,43206,74
FE580,23,Female,14,Single,3,2,40932,53
FE580,23,Male,16,Partnered,3,3,45480,64
FE580,24,Female,14,Single,3,2,40932,85
FE580,24,Male,14,Single,3,4,48891,106
FE580,24,Female,16,Single,3,3,50028,106
FE580,25,Female,14,Partnered,2,3,45480,85
FE580,25,Female,14,Single,3,4,43206,127
FE580,25,Male,16,Partnered,2,2,52302,42
FE580,25,Female,14,Partnered,5,3,47754,106
FE580,25,Male,14,Single,3,3,45480,95
FE580,25,Female,14,Single,2,3,43206,64
FE580,25,Male,14,Partnered,4,3,45480,170
FE580,25,Male,14,Partnered,3,4,43206,106
FE580,25,Male,16,Partnered,2,3,50028,53
FE580,25,Female,14,Single,2,2,45480,42
FE580,25,Male,14,Single,4,3,48891,127
FE580,26,Female,16,Partnered,4,3,45480,85
FE580,26,Female,16,Single,4,4,50028,127
FE580,26,Male,16,Single,4,3,51165,106
FE580,27,Male,14,Single,4,2,45480,53
FE580,29,Female,14,Partnered,3,3,51165,95
FE580,30,Female,14,Single,3,3,57987,74
FE580,30,Female,13,Single,4,3,46617,106
FE580,31,Male,16,Partnered,3,3,52302,95
FE580,31,Female,16,Partnered,2,3,51165,64
FE580,31,Female,18,Single,2,1,65220,21
FE580,32,Male,16,Single,4,3,60261,127
FE580,32,Male,16,Partnered,3,3,53439,95
FE580,33,Male,13,Partnered,4,4,53439,170
FE580,33,Female,16,Partnered,2,3,50028,85
FE580,33,Male,16,Partnered,3,3,51165,95
FE580,33,Female,16,Partnered,5,3,53439,95
FE580,33,Female,18,Single,3,4,47754,74
FE580,34,Female,16,Partnered,4,3,64809,95
FE580,34,Male,16,Partnered,3,4,59124,85
FE580,34,Male,15,Single,3,3,67083,85
FE580,35,Female,14,Partnered,3,2,52302,53
FE580,35,Male,16,Partnered,3,2,53439,53
FE580,35,Female,16,Single,3,2,50028,64
FE580,35,Male,16,Partnered,3,3,53439,95
FE580,37,Female,16,Partnered,2,3,48891,85
FE580,38,Female,16,Partnered,4,3,62535,85
FE580,38,Male,16,Partnered,3,3,59124,106
FE580,40,Female,16,Partnered,3,3,61398,85
FE580,40,Female,16,Single,3,3,57987,85
FE580,40,Male,16,Partnered,3,3,64809,95
FE580,45,Male,16,Partnered,2,2,54576,42
FE580,48,Male,16,Partnered,2,3,57987,64
FE605,22,Male,14,Single,4,3,48658,106
FE605,22,Male,16,Single,3,5,54781,120
FE605,22,Male,18,Single,4,5,48556,200
FE605,23,Male,16,Single,4,5,58516,140
FE605,23,Female,18,Single,5,4,53536,100
FE605,23,Male,16,Single,4,5,48556,100
FE605,24,Male,16,Single,4,5,61006,100
FE605,24,Male,18,Partnered,4,5,57271,80
FE605,24,Female,16,Single,5,5,52291,200
FE605,24,Male,16,Single,5,5,49801,160
FE605,25,Male,16,Partnered,4,5,49801,120
FE605,25,Male,16,Partnered,4,4,62251,160
FE605,25,Female,18,Partnered,5,5,61006,200
FE605,25,Male,18,Partnered,4,3,64741,100
FE605,25,Male,18,Partnered,6,4,70966,180
FE605,25,Male,18,Partnered,6,5,75946,240
FE605,25,Male,20,Partnered,4,5,74701,170
FE605,26,Female,21,Single,4,3,69721,100
FE605,26,Male,16,Partnered,5,4,64741,180
FE605,27,Male,16,Partnered,4,5,83416,160
FE605,27,Male,18,Single,4,3,88396,100
FE605,27,Male,21,Partnered,4,4,90886,100
FE605,28,Female,18,Partnered,6,5,92131,180
FE605,28,Male,18,Partnered,7,5,77191,180
FE605,28,Male,18,Single,6,5,88396,150
FE605,29,Male,18,Single,5,5,52290,180
FE605,29,Male,14,Partnered,7,5,85906,300
FE605,30,Female,16,Partnered,6,5,90886,280
FE605,30,Male,18,Partnered,5,4,103336,160
FE605,30,Male,18,Partnered,5,5,99601,150
FE605,31,Male,16,Partnered,6,5,89641,260
FE605,33,Female,18,Partnered,4,5,95866,200
FE605,34,Male,16,Single,5,5,92131,150
FE605,35,Male,16,Partnered,4,5,92131,360
FE605,38,Male,18,Partnered,5,5,104581,150
FE605,40,Male,21,Single,6,5,83416,200
FE605,42,Male,18,Single,5,4,89641,200
FE605,45,Male,16,Single,5,5,90886,160
FE605,47,Male,18,Partnered,4,5,104581,120
FE605,48,Male,18,Partnered,4,5,95508,180
